CG1N1 0.03
 O2 PHMK 0.01
 O3 PHEK 0.01
 O2 BEON 0.02
OG2D4 0.36
 O2 CSTH 0.06
 O2 CSCY 0.01
 O2 CNTH 0.06
 O2 CNT1 0.06
 O2 CNT2 0.06
 O2 CNT3 0.06
 O2 CNCY 0.01
 O4 URAC 0.03
 O2 2PYO 0.01
OG2P1 2.61
 O13 PPI1 0.0399999999999999
 O14 PPI1 0.0399999999999999
 O13 PPI2 0.0499999999999999
 O14 PPI2 0.0499999999999999
 O23 PPI2 0.08
 O24 PPI2 0.08
 O1A ADP 0.0399999999999999
 O2A ADP 0.0399999999999999
 O3 PPH1 0.02
 O4 PPH1 0.02
 O2 BMPD 0.23
 O3 BMPD 0.23
 O4 BMPD 0.23
 O3 BDFP 0.02
 O4 BDFP 0.02
 O2 BDFD 0.22
 O3 BDFD 0.22
 O4 BDFD 0.22
 O21 METP 0.0399999999999999
 O22 METP 0.0399999999999999
 O31 METP 0.0399999999999999
 O32 METP 0.0399999999999999
 O11 PMSM 0.06
 O12 PMSM 0.06
 O11 PBSM 0.02
 O12 PBSM 0.02
 O3 MMST 0.1
 O4 MMST 0.1
 O1 DMSN 0.06
 O2 DMSN 0.06
 O1 MESN 0.06
 O2 MESN 0.06
OG301 0.02
OG302 0.52
 O32 DMCB 0.14
 O42 DECB 0.14
 O1 DMCA 0.06
 O2 DMCA 0.06
 O1 DECA 0.06
 O2 DECA 0.06
OG303 0.83
 O1 MP_2 0.03
 O5' TH5P 0.03
 O3' TH3P 0.03
 O3' TM3P 0.03
 O3' RM3P 0.03
 O3' T2FU 0.03
 O3' TMFU 0.03
 O3' T2FD 0.03
 O3' TMFD 0.03
 O3' AR3P 0.03
 O11 PPI1 0.05
 O11 PPI2 0.05
 O5' AMP 0.03
 O5' ADP 0.05
 OH PPH1 0.05
 O1 EP_2 0.03
 O1 METP 0.05
 O5 MMST 0.22
OG304 0.23
 O12 PPI2 0.05
 O2 METP 0.0599999999999999
 O3 METP 0.12
OG311 0.260000000000001
 O1 TFE 0.01
 O22 PPI2 0.0700000000000001
 O1 FORH 0.1
 O TMAOP 0.08
OG3C51 0.16
 O1 ZDOL 0.08
 O2 ZDOL 0.08
OG3C61 0
PG1 0.860000000000001
 P1 PPI1 0.13
 P1 PPI2 0.0899999999999999
 P2 PPI2 0.0999999999999999
 PA ADP 0.13
 P1 PPH1 0.01
 P2 METP 0.13
 P3 METP 0.26
PG2 1.35002
 P1 BMPD 0.69001
 P1 BDFD 0.66001
SG311 0.07
 S3 EMS 0.02
 S1 THPS 0.02
 S1 PRSH 0.02
SG3O1 1.9999999999909e-05
SG3O2 0.81
 S1 MSAM 0.09
 S1 MMSM 0.07
 S1 PMSM 0.11
 S1 MMST 0.23
 S DMSN 0.12
 S MESN 0.19
